2012-05-04 16:08:48 Notice: Notice (1024): location object expected, location array not in correct format in [/var/www/Desarroll/plugins/mongodb/models/datasources/mongodb_source.php, line 476]
2012-05-04 17:33:54 Notice: Notice (8): Undefined index: idusuario in [/var/www/Desarroll/controllers/mensajes_controller.php, line 69]
2012-05-04 17:34:24 Notice: Notice (8): Undefined index: idusuario in [/var/www/Desarroll/controllers/mensajes_controller.php, line 69]
2012-05-04 17:35:20 Notice: Notice (8): Undefined index: idusuario in [/var/www/Desarroll/controllers/mensajes_controller.php, line 71]
2012-05-04 17:35:20 Notice: Notice (8): Undefined index: idusuario in [/var/www/Desarroll/controllers/mensajes_controller.php, line 71]
2012-05-04 17:36:08 Notice: Notice (8): Undefined index: idusuario in [/var/www/Desarroll/controllers/mensajes_controller.php, line 71]
2012-05-04 17:36:08 Notice: Notice (8): Undefined index: idusuario in [/var/www/Desarroll/controllers/mensajes_controller.php, line 71]
2012-05-04 17:40:25 Notice: Notice (8): Undefined index: _idmensaje in [/var/www/Desarroll/controllers/mensajes_controller.php, line 77]
2012-05-04 17:40:25 Notice: Notice (8): Undefined index: _idmensaje in [/var/www/Desarroll/controllers/mensajes_controller.php, line 77]
2012-05-05 09:05:55 Notice: Notice (8): Undefined property: MensajesController::$Geo in [/var/www/Desarroll/controllers/mensajes_controller.php, line 104]
2012-05-05 09:56:39 Notice: Notice (8): Undefined index: comentario in [/var/www/Desarroll/controllers/mensajes_controller.php, line 47]
2012-05-05 09:56:39 Notice: Notice (8): Undefined index: respuestas in [/var/www/Desarroll/controllers/mensajes_controller.php, line 50]
2012-05-05 09:56:39 Notice: Notice (8): Undefined index: fecha_creacion in [/var/www/Desarroll/controllers/mensajes_controller.php, line 51]
2012-05-05 09:56:39 Notice: Notice (8): Undefined index: notificacion in [/var/www/Desarroll/controllers/mensajes_controller.php, line 52]
2012-05-05 09:56:39 Notice: Notice (8): Undefined index: listaMensaje in [/var/www/Desarroll/controllers/mensajes_controller.php, line 54]
2012-05-05 09:58:02 Notice: Notice (8): Undefined index: comentario in [/var/www/Desarroll/controllers/mensajes_controller.php, line 47]
2012-05-05 09:58:02 Notice: Notice (8): Undefined index: respuestas in [/var/www/Desarroll/controllers/mensajes_controller.php, line 50]
2012-05-05 09:58:02 Notice: Notice (8): Undefined index: fecha_creacion in [/var/www/Desarroll/controllers/mensajes_controller.php, line 51]
2012-05-05 09:58:02 Notice: Notice (8): Undefined index: notificacion in [/var/www/Desarroll/controllers/mensajes_controller.php, line 52]
2012-05-05 09:58:02 Notice: Notice (8): Undefined index: listaMensaje in [/var/www/Desarroll/controllers/mensajes_controller.php, line 54]
2012-05-05 09:58:02 Notice: Notice (8): Undefined index: comentario in [/var/www/Desarroll/controllers/mensajes_controller.php, line 47]
2012-05-05 09:58:02 Notice: Notice (8): Undefined index: respuestas in [/var/www/Desarroll/controllers/mensajes_controller.php, line 50]
2012-05-05 09:58:02 Notice: Notice (8): Undefined index: fecha_creacion in [/var/www/Desarroll/controllers/mensajes_controller.php, line 51]
2012-05-05 09:58:02 Notice: Notice (8): Undefined index: notificacion in [/var/www/Desarroll/controllers/mensajes_controller.php, line 52]
2012-05-05 09:58:02 Notice: Notice (8): Undefined index: listaMensaje in [/var/www/Desarroll/controllers/mensajes_controller.php, line 54]
2012-05-05 09:58:37 Notice: Notice (8): Undefined index: comentario in [/var/www/Desarroll/controllers/mensajes_controller.php, line 70]
2012-05-05 09:58:37 Notice: Notice (8): Undefined index: respuestas in [/var/www/Desarroll/controllers/mensajes_controller.php, line 73]
